first.name,last.name,ID,h.index,i10.idex,citations
Yasmine,Abdelfattah,pab111,1,0,6
Yahyaoui,Abdelkarim,pab149,1,0,3
Touhami,Abdelkhalek,pab343,3,1,52
Kamel,Abdellah,pab218,1,0,1
Mohammed,Abdellaoui,pab230,12,15,1022
Hesham,Abdel-Rahman,pab154,7,7,306
Kanat,Abdolla,pab184,1,0,3
Doaa,Abdou,pab256,2,0,8
Joseph,Abdou,pab139,4,0,33
Muhamad,Abduh,pab173,1,0,6
Malek,Abdul,pab140,1,0,7
Baharom,Abdul Hamid,pab116,3,0,28
Bakri,Abdul Karim,pab138,2,0,16
Zulkefly,Abdul Karim,pab161,2,0,14
Muhamed Zulkhibri,Abdul Majid,pab120,4,0,37
Turkhan Ali,Abdul Manap,pab291,2,2,42
Abdul Rahim,Abdul Rahman,pab147,2,0,14
Awudu,Abdulai,pab179,20,26,1044
Abdullahi,Abdulkadri,pab210,3,0,25
Bekzod,Abdullaev,pab213,1,0,3
Iskandar,Abdullaev,pab176,3,0,12
Azrul,Abdullah,pab329,1,1,56
Sabah,Abdullah,pab136,4,4,105
Selamah,Abdullah Yusof,pab110,1,1,12
Emad,Abdullatif,pab183,1,0,2
Ilhom,Abdulloev,pab200,4,1,34
Mariani,Abdul-Majid,pab148,3,3,72
A.S.,Abdul-Rahim,pab354,1,0,3
Sikiru,Abdulsalam,pab358,1,0,1
Abdurohman,Abdurohman,pab311,1,0,1
Masahiro,Abe,pab52,2,2,67
Naohito,Abe,pab56,5,3,98
Yukiko,Abe,pab216,6,4,96
Kenzo,Abe,pab30,7,6,120
Degnet,Abebaw Ejigie,pab166,6,2,81
Abebe,Abebe,psh19,3,1,74
Girum,Abebe,pab252,3,0,17
Ama,Abeberese,pab344,2,0,13
Javad,Abedini,pab211,2,1,25
Sufian,Abedl-Gadir,pab162,1,0,2
Abedullah,Abedullah,pan139,5,1,50
Melaku,Abegaz,pab287,1,0,1
Gary,Abel,pab281,1,0,2
Istvan,Abel,pab225,5,2,74
Jaison,Abel,pab107,7,7,184
Andrew,Abel,pab10,27,40,4108
Johannes,Abeler,pab169,9,8,402
Jennifer,Abel-Koch,pab181,3,2,38
Jose-Maria,Abellan-Perpiñan,pab85,7,5,122
Erik,Öberg,pbe1118,1,0,4
Stefan,Öberg,pbe1088,1,0,2
Tilak,Abeysinghe,pab13,9,9,306
Pongrapeeporn,Abhakorn,pab198,2,0,12
Subhash,Abhayawansa,pab362,1,0,4
Abdul,Abiad,pab242,12,13,787
Mary-Fidelis,Abiahu,pab351,1,0,1
Mehdi,Abid,pab220,2,2,40
Babatunde,Abidoye,pab215,3,1,32
Jens,Abildtrup,pab315,5,1,61
Gemma,Abio,pab263,3,2,85
Jose Miguel,Abito,pab126,1,1,59
Vasif,Abiyev,pab303,1,0,1
Azar,Abizada,pab246,2,0,8
Sohrab,Abizadeh,pab101,5,3,61
Shahrouz,Abolhosseini,pab271,1,1,23
George,Abonyi,pab189,1,0,1
Joshua,Abor,pab152,4,2,47
Hala,Abou-Ali,pab379,3,0,29
Rahi,Abouk,pab265,2,1,26
Esmaiel,Abounoori,pab29,4,0,23
Hashem,Abouwafia,pab292,1,0,2
John,Abowd,pab175,27,47,4286
Salem,Abo-Zaid,pab92,4,1,43
Biju,Abraham,pka91,2,0,4
Vinoj,Abraham,pab133,3,2,47
Arpad,Abraham,pab40,7,6,178
Katharine,Abraham,pab32,21,28,1852
Ran,Abramitzky,pab108,9,7,242
Laura,Abramovsky,pab130,7,7,239
Burton,Abrams,pab197,9,9,288
Rosa,Abrantes-Metz,pab95,1,1,67
Muhammad,Abrar ul haq,pul50,3,1,36
Graziano,Abrate,pab105,6,2,80
Jan,Abrell,pab286,5,4,130
Alexandre,Abreu,pab188,1,0,8
Maria,Abreu,pab53,2,2,164
Margarida,Abreu,pab67,4,3,53
Marcelo,Abreu,pab254,5,1,113
Luis,Abreu,pab383,10,10,717
Jason,Abrevaya,pab39,12,14,610
Michael Ralph,Abrigo,pab357,3,2,61
Davinson,Abril Salcedo,pab318,1,0,1
Zewdu,Abro,pab262,1,1,12
Alexander,Abroskin,pab261,1,0,7
Nurudeen,Abu,pab332,2,1,17
Bassam,Abu Al-Foul,pab283,2,1,30
Assem,Abu Hatab,pab206,1,0,3
Suleiman,Abu-Bader,pab123,7,6,282
Menachem,Abudy,pab339,1,0,2
Emmanuel,Abuelafia,pab74,2,1,15
Ramses,Abul Naga,pab119,4,2,134
Aamer,Abu-Qarn,pab82,7,6,283
Toni,Aburime,pab141,2,0,7
George,Abuselidze,pab247,1,0,1
Rasim,Abutalibov,pab260,1,0,1
Mohammad,Abu-Zaineh,pab221,3,1,25
Oguz,Öcal,pca936,3,0,19
Sevil,Acar,pac57,5,1,40
Elif,Acar,pka689,7,4,156
Marius,Acatrinei,pac86,2,0,6
Carmen,Acatrinei (Pantea),pac51,1,0,5
Antonio,Accetturo,pac50,7,5,139
Paolo,Acciari,pac76,5,2,71
Elvio,Accinelli,pac21,4,1,57
Olivier,Accominotti,pac67,6,5,111
Antonio,Acconcia,pac7,6,2,146
Carlo,Acerbi,pac74,7,6,541
Virginia,Acha,pac20,3,0,25
Mohamed Akli,Achabou,pac61,5,4,64
Chakra,Acharya,pac80,2,0,10
Sushant,Acharya,pac42,2,0,14
Avidit,Acharya,pac43,3,0,21
Debashis,Acharya,pac73,3,1,26
Sanjaya,Acharya,pac44,4,0,34
Viral,Acharya,pac33,34,56,4898
Rajat,Acharyya,pac41,5,3,96
Theophilus,Acheampong,pac81,1,0,1
Keith,Acheson,pac49,6,4,94
Monica,Achim,pac56,1,0,7
Yury,Achkasov,pac98,6,1,64
Noer,Achsani,pac93,2,0,5
Martin,Acht,pac77,1,1,11
Thom,Achterbosch,pac55,2,1,16
Martin,Achtnicht,pac38,6,5,151
Carolina,Achury,pac47,1,1,10
Gopakumar,Achuthankutty,pac92,1,0,1
Lahcen,Achy,pac9,4,3,76
Senay,Acikgoz,pac52,2,0,14
Omer,Acikgoz,pac45,4,2,35
Ishmael,Ackah,pac69,3,0,26
Daniel,Ackerberg,pac11,11,12,1279
Frank,Ackerman,pac18,10,10,347
Lucy,Ackert,pac32,11,14,372
Björn,Öckert,pck2,3,1,33
Robert,Ackland,pac26,1,1,28
Nicola,Acocella,pac46,6,2,130
Raul,Acosta,pac35,1,0,1
Miguel,Acosta,pac75,2,1,14
Karina,Acosta,pac53,3,0,20
Manuel,Acosta,pac23,6,3,85
Pablo,Acosta,pac19,11,12,630
Alessandro,Acquisti,pac8,6,4,322
Zoltan,Acs,pac17,31,61,5138
Eugenio,Actis Di Pasquale,pac64,2,0,11
Jose,Acuña,pac90,12,13,529
Veronica,Acurio Vasconez,pac78,1,0,3
Takanori,Adachi,pad13,5,3,54
Philippe,Adair,pad118,3,0,17
Muge,Adalet,pad85,5,2,104
Tomas,Adam,pad125,2,0,10
Brian,Adam,pad140,3,1,32
Anokye,Adam,pad59,4,2,53
Antonis,Adam,pad41,7,7,165
Christopher,Adam,pad33,13,15,548
Klaus,Adam,pad1,14,20,1125
Fikret,Adaman,pad50,6,3,99
Tasso,Adamopoulos,pad48,6,5,162
Effrosyni,Adamopoulou,pad100,3,0,19
Wiktor,Adamowicz,pad105,21,39,2531
Brian,Adams,pad114,1,0,2
Zeno,Adams,pad133,2,1,61
Abi,Adams,pad210,3,1,37
Damian,Adams,pad131,3,1,35
William,Adams,pad80,3,1,327
F. Gerard,Adams,pad69,6,5,186
Carol,Adams,pad211,7,5,127
Philip,Adams,pad39,8,7,206
Scott,Adams,pad22,11,11,335
James,Adams,pad11,13,17,920
Renee,Adams,pad158,14,14,1566
Richard,Adams,pad90,19,23,1190
Jonathon,Adams-Kane,pad144,3,0,20
David,Adamson,pad38,5,4,80
Bernardino,Adao,pad9,7,4,183
Amat,Adarov,pad198,1,0,9
Michelle,Adato,pad75,8,8,298
Jerome,Adda,pad119,13,16,770
Tindara,Addabbo,pad215,5,1,64
Waleed,Addas,pad62,1,0,7
Francesco,Addesa,pad141,2,0,6
Elisabetta,Addis,pad32,2,0,13
John,Addison,pad14,23,57,2068
Fenaba,Addo,pad145,1,0,2
Peter Martey,Addo,pad121,3,1,28
Adebisi,Adebusuyi,ped74,1,0,4
Joseph,Adegbesan,pad46,2,0,6
Bamidele,Adekunle,pad74,1,1,10
Adegoke,Adeleke,pad167,1,0,5
Manuel,Adelino,pad122,7,5,251
Melissa,Adelman,pad185,1,0,1
Irma,Adelman,pad207,10,10,259
Yvonne,Adema,pad53,4,0,32
Maja,Adena,pad139,3,2,68
Oluwatosin,Adeniyi,pad127,3,0,22
Adeniyi,Adenuga,pad107,2,0,8
Deodat,Adenutsi,pad102,4,1,37
Adrian,Adermon,pad101,5,3,61
Olutomi,Adeyemi,pad57,3,2,87
Dadhi,Adhikari,pad197,1,0,2
Bibek,Adhikari,pad152,2,1,15
Maniklal,Adhikary,pad134,1,0,2
Achyuta,Adhvaryu,pad77,5,2,62
Charles,Adjasi,pad196,6,3,134
Michael,Adjemian,pad81,4,1,45
Stéphane,Adjemian,pad52,5,2,58
Lee,Adkins,pad136,7,5,164
Gustavo,Adler,pad129,7,5,161
Assefa,Admassie,pad157,5,3,107
Anat,Admati,pad89,20,24,2422
Muhammad,Adnan,pad71,1,0,1
Nick,Adnett,pad4,5,1,103
Malin,Adolfson,pad42,13,14,1029
Philip,Adom,pko441,1,0,1
Kwame,Adom,pad146,2,0,7
Stef,Adriaenssens,pad117,1,0,4
Tobias,Adrian,pad61,23,38,2295
Fabrizio,Adriani,pad82,4,4,84
Vid,Adrison,pad161,1,0,1
Pawel,Adrjan,pad216,4,1,56
Alicia,Adsera,pad25,10,10,578
Frank,Adu,pad150,2,0,16
George,Adu,pad130,3,0,22
Arun,Advani,pad123,2,0,8
Monica,Adya,pad55,2,1,26
Romain,Aeberhardt,pae3,8,6,168
Bernard,Aebischer,pae5,1,1,17
Diederik,Aerts,pae6,2,0,11
Mustafa,Afacan,paf46,2,0,20
Dmitriy,Afanasyev,paf34,2,0,4
Elena,Afanasyeva,paf56,3,0,17
Elvin,Afandi,paf18,3,0,19
Dinçer,Afat,paf43,1,0,2
Komivi,Afawubo,paf52,1,0,8
Pyemo,Afego,paf23,1,0,4
Sylvanus,Afesorgbor,paf29,2,0,13
Massimiliano,Affinito,paf55,4,3,97
Ermanno,Affuso,paf30,1,0,4
Antonio,Affuso,paf7,2,0,7
Luís,Afonso,paf49,3,2,44
Oscar,Afonso,paf10,3,2,45
Gara,Afonso,paf14,8,7,336
Antonio,Afonso,paf1,28,52,2440
Ana,Africano,paf5,5,3,70
Farzana,Afridi,paf9,6,5,136
Sadia,Afrin,paf54,1,0,1
Hassan,Afrouzi,paf50,1,1,20
Asyraf,Afthanorhan,paf35,1,0,2
Talat,Afza,paf32,5,4,200
Muhammad,Afzal,paf44,1,0,3
Sarwat,Afzal,paf15,1,0,1
Uzma,Afzal,pau85,2,0,16
Gemechu,Aga,pag155,3,1,52
Pierre-Richard,Agénor,pag16,20,43,1532
Jorge,Agüero,pag62,6,5,182
Tadele,Agaje,pfe248,1,0,7
Adriana,Agapie,pag55,1,0,4
Aman,Agarwal,pag9,1,1,17
Pawan,Agarwal,pag52,1,1,10
Rahul,Agarwal,pag35,1,0,2
Ruchir,Agarwal,pag154,1,1,30
Natasha,Agarwal,pag92,2,0,12
Nikhil,Agarwal,pag128,5,5,93
Bina,Agarwal,pag169,9,9,363
Sumit,Agarwal,pag47,19,38,1384
Tommaso,Agasisti,pag127,8,7,168
Murali,Agastya,pag7,4,2,64
Temisan,Agbeyegbe,pag19,4,1,59
Maxime,Agbo,pag152,2,0,10
Frank,Agbola,pag158,4,0,49
Julius,Agbor,pag117,2,1,95
Alperen,Agca,pag171,1,0,3
Senay,Agca,pag157,5,2,72
Mohammed,Ageli,pag125,1,0,6
Jonas,Agell,pag93,21,25,1275
Philipp,Ager,pag129,5,3,135
Nidhi,Aggarwal,pag114,1,0,7
Shalini,Aggarwal,pag131,1,0,3
Suresh,Aggarwal,pag40,2,1,25
Aradhna,Aggarwal,pag119,6,6,152
Rajesh,Aggarwal,pag94,10,10,679
Raj,Aggarwal,pag27,16,24,782
Salah,Agha,pag79,1,0,3
Leila,Agha,pag166,2,1,27
Nola,Agha,pag105,2,0,11
Philippe,Aghion,pag175,63,134,18195
Isabelle,Agier,pag88,4,2,111
Tamunopriye,Agiobenebo,pag96,1,0,5
George,Agiomirgianakis,pag4,6,5,138
Panayiotis,Agisilaou,pag98,1,0,2
Elettra,Agliardi,pag137,6,2,108
Anna,Agliari,pag80,4,2,52
Betty,Agnani,pag41,3,1,26
Richard,Agnello,pag107,4,4,88
Luca,Agnello,pag61,12,14,462
Pablo,Agnese,pag59,3,0,19
Kerri,Agnew,pag182,2,2,52
Delina,Agnosteva,pag136,1,1,20
Manuel,Agosin,pag56,8,7,425
Claudio,Agostinelli,pag68,2,0,7
Francesco,Agostinelli,pag161,2,0,13
Marisa,Agostini,pag118,1,0,1
Massimiliano,Agovino,pag126,2,0,14
Anna,Agrapetidou,pag139,1,0,3
Tushar,Agrawal,pag121,3,0,18
Arun,Agrawal,pag70,6,6,507
Ajay,Agrawal,pag38,14,18,1115
Per,Agrell,pag104,7,5,211
Anders,Ögren,pgr428,2,0,8
Itziar,Aguado,pag78,1,0,6
Luis Fernando,Aguado Quintero,pag43,2,0,8
Scott,Aguais,pag50,1,0,1
Eva,Aguayo,pag17,4,1,92
Ernesto,Aguayo-Téllez,pag99,3,1,55
Diego,Agudelo,pag122,2,0,10
Victor,Aguiar,pag44,2,0,9
Luis,Aguiar,pag120,3,0,26
Mark,Aguiar,pag57,16,18,2214
Angel,Aguiar Román,pag89,5,2,58
Luís,Aguiar-Conraria,pag24,9,9,415
Emma,Aguila,pag69,5,3,77
Pablo,Aguilar,pag133,1,0,1
Camila,Aguilar,pag170,3,1,59
Giovanna,Aguilar Andía,pag111,2,0,8
Ismael,Aguilar Benitez,pag90,1,0,5
Arturo,Aguilar Esteva,pag113,1,1,20
José,Aguilar-Retureta,pag135,1,0,5
Maria,Aguilera,pag39,2,1,30
Federico,Aguilera Klink,pag134,2,1,13
Javier,Aguilera-Caracuel,pag84,1,1,11
Julio,Aguirre,pag162,1,0,1
Antonio,Aguirre,pag25,2,0,10
Horacio,Aguirre,pag116,2,0,8
Maria,Aguirre,pag85,2,0,8
Alvaro,Aguirre,pag86,4,2,121
Iñaki,Aguirre,pag26,4,2,137
Ana,Agundez Garcia,pag54,1,0,6
Itai,Agur,pag37,7,6,111
Muhammad Yousuf,Aguria,pag34,1,0,6
Marcos,Agurto Adrianzen,pag74,1,0,3
Hernández-Bastida,Agustín,pag46,3,0,16
Sam,Agyei-Ampomah,pag168,3,1,49
Felix,Agyei-Sasu,pag130,1,0,1
Otuo,Agyemang,pag123,1,0,1
Muhammad,Ahad,pah179,1,0,3
Mazbahul,Ahamad,pah73,3,1,48
Ibrahim,Ahamada,pah36,5,3,69
Alan,Ahearne,pah15,9,9,554
Daniel Felix,Ahelegbey,pah131,2,2,27
Kenneth,Ahern,pah103,7,6,336
Stephen,Ahiabu,pah20,1,0,1
Dominic,Ahiaga-Dagbui,pah165,1,0,2
Avner,Ahituv,pah17,6,6,252
Francis,Ahking,pah11,5,4,88
Hannes,Öhler,phl13,12,14,1146
Gerd,Ahlert,pah95,2,0,24
Pelle,Ahlerup,pah107,4,2,132
Gabriel,Ahlfeldt,pah63,10,12,481
Michael,Ahlheim,pah59,3,1,35
Lina,Ahlin,pah149,1,0,5
Christian,Ahlin,pah212,7,7,289
John,Ahlquist,pah68,2,0,14
Montek,Ahluwalia,pah16,5,5,376
Lassi,Ahlvik,pah147,2,0,8
Abu,Ahmad,pah87,1,0,1
Azkar,Ahmad,pah117,1,0,8
Nawaz,Ahmad,pah108,1,0,1
Shabbir,Ahmad,pah169,1,0,4
Taleb,Ahmad,pah49,1,0,4
Abd Halim,Ahmad,pah154,2,1,41
Ahmad Hassan,Ahmad,pah137,2,1,22
Kaikaus,Ahmad,pah138,2,1,14
Mahyudin,Ahmad,pah98,2,0,17
Najid,Ahmad,pah140,2,0,6
Usman,Ahmad,pah66,2,1,45
Yamin,Ahmad,pah18,2,2,35
Iftikhar,Ahmad,pah47,3,0,19
Mohsin,Ahmad,pah155,3,1,41
Wasim,Ahmad,pah189,3,1,59
Naved,Ahmad,pah58,4,1,31
Nadim,Ahmad,pah56,6,6,241
Munir,Ahmad,pah45,7,4,168
Vugar,Ahmadov,pah186,3,0,12
Sina,Ahmadzadeh Mashinchi,pah113,1,0,1
Adam,Ahmed,pah129,1,0,4
Adnan,Ahmed,pah70,1,0,4
Doaa,Ahmed,pah135,1,0,1
Jameel,Ahmed,pah115,1,1,24
Mansur,Ahmed,pah64,1,0,4
Moin Uddin,Ahmed,pah164,1,0,1
Musa,Ahmed,pah210,1,0,2
Ovais,Ahmed,pah161,1,0,1
Syed,Ahmed,pah26,1,1,47
Walid,Ahmed,pah80,1,0,4
Ather,Ahmed,pah94,2,1,22
Junaid,Ahmed,pah126,2,0,12
Rasha,Ahmed,pah42,2,1,16
Saira,Ahmed,pah202,2,0,9
Shahid,Ahmed,pah96,2,0,7
Salma,Ahmed,pah109,3,0,15
Waqas,Ahmed,pah62,3,0,29
Ayaz,Ahmed,pah116,4,1,28
Elsadig,Ahmed,pah50,4,0,42
Salah,Ahmed,pah183,4,1,36
Khalid,Ahmed,pah136,5,1,56
Syud,Ahmed,pah76,5,2,99
Vaqar,Ahmed,pah5,5,1,67
Abdullahi,Ahmed,pah77,6,2,87
Habib,Ahmed,pah14,6,6,140
Akhter,Ahmed,pah69,12,14,356
Shaghil,Ahmed,pah199,14,17,981
Riham,Ahmed Ezzat,pah177,1,0,1
Tom,Ahn,pah101,3,1,34
Seoungpil,Ahn,pah139,4,4,122
Taehyun,Ahn,pah79,4,1,43
JaeBin,Ahn,pah105,5,4,334
Namkee,Ahn,pah7,7,5,379
Seung,Ahn,pah132,10,11,780
Toni,Ahnert,pah162,4,0,28
Rudiger,Ahrend,pah10,10,14,288
Achim,Ahrens,pah173,2,0,8
Steffen,Ahrens,pah84,2,0,14
Nina,Öhrn,phr21,1,0,1
Richard,Öhrvall,phr27,4,2,83
Afm,Ahsan,pah146,1,0,1
Dewan,Ahsan,pah176,1,0,1
Henna,Ahsan,pah118,1,1,12
Reshad,Ahsan,pah102,4,2,75
Syed,Ahsan,pah72,6,2,82
Meta,Ahtik,pah125,1,0,5
Vinod,Ahuja,pah1,4,2,58
Hildegart,Ahumada,pah124,6,4,156
Hengjie,Ai,pai13,4,2,56
Chunrong,Ai,pai18,9,9,2190
Rahel,Aichele,pai36,6,6,190
Takeshi,Aida,pai63,1,0,5
Ruta,Aidis,pai34,8,8,320
Anne,Aidla,pai33,1,0,2
Eric,Aidoo,pai29,1,0,1
Robert,Aidoo,pai38,1,0,1
Toke,Aidt,pai26,17,23,1409
Francesco,Aiello,pai2,8,6,201
Karl,Aiginger,pai25,12,14,542
Rafael,Aigner,pai54,2,0,11
Adam,Aiken,pai59,2,1,22
David,Aikman,pai20,6,6,298
Jason,Aimone,pai43,3,3,68
Carmen,Aina,pai31,4,2,55
Marco,Airaudo,pai21,5,2,65
Jim,Airola,pai27,3,3,102
Rosa,Aisa,pai24,5,4,96
Emma,Aisbett,pai22,7,5,98
Ari,Aisen,pai39,7,6,270
Matthias,Aistleitner,pai60,1,0,4
Zouhair,Ait Benhamou,pai45,1,0,1
Sreeramana,Aithal,pai52,4,0,57
Andrew,Aitken,pai12,6,3,78
Michael,Aitken,pai51,9,7,300
Yacine,Ait-Sahalia,pai23,21,27,2794
Fernando Antonio,Aiube,pai41,1,0,3
Sergey,Aivazian,pai35,5,0,51
Varouj,Aivazian,pai37,10,11,754
S.,Aiyagari,pai4,21,24,3096
Shekhar,Aiyar,pai7,13,17,503
Ana,Aizcorbe,pai6,8,7,273
Joshua,Aizenman,pai8,34,94,3827
Anna,Aizer,pai9,14,16,643
Olubunmi,Ajani,paj9,2,0,10
Oluyede,Ajayi,paj10,3,1,27
Andrea,Ajello,paj16,3,2,83
Viktors,Ajevskis,paj11,5,0,43
Akinyemi,Ajibola,paj24,1,0,1
Ahdi Noomen,Ajmi,paj18,8,7,240
Brou,Aka,pak47,2,1,34
Semih,Akçomak,pak33,5,1,116
Hideo,Akabayashi,pak56,2,2,38
Jiro,Akahori,pak46,3,0,34
Nobuo,Akai,pak107,8,7,244
Faical,Akaichi,pak129,3,0,21
Mustafa,Akal,pak50,1,0,2
Ergin,Akalpler,pak218,7,5,116
Olusegun,Akanbi,pak130,2,0,10
Omolara,Akanji,pak6,1,0,2
Lateef,Akanni,pak209,2,1,12
Ken-Ichi,Akao,pak134,4,1,41
Ali,Akarca,pak57,3,2,69
Kentaro,Akashi,pak131,3,2,41
Alpaslan,Akay,pak73,7,7,198
Mashfique,Akbar,pak152,1,0,3
Minhas,Akbar,pak166,1,0,2
Sajjad,Akbar,pak3,1,0,3
Syed,Akbari,pak77,4,4,92
Elif,Akben Selçuk,pak76,1,0,2
Mevlude,Akbulut-Yuksel,pak64,5,1,120
Yasin,Akcelik,pak143,5,2,52
Ufuk,Akcigit,pak203,13,15,592
Elcin,Akcura,pak120,2,0,7
Sinan,Akdal,pak105,1,0,5
Sacit,Akdede,pak63,2,0,12
Esra,Akdeniz Duran,pak93,2,2,76
Kurmas,Akdogan,pak88,4,1,34
Randall,Akee,pak85,7,4,175
George,Akerlof,pak7,31,44,11134
Anders,Akerman,pak67,4,4,161
Maria,Akers,pak148,2,0,11
Yusuf Emre,Akgunduz,pak150,3,1,24
Amanar,Akhabbar,pak96,1,0,4
Hafiz,Akhand,pak205,4,1,25
Jalal,Akhavein,pak9,5,3,314
Akhmadi,Akhmadi,pak208,3,0,14
Alisher,Akhmedjonov,pak106,2,1,22
Muhammad,Akhtar,pak151,1,0,1
Waheed,Akhter,pak125,1,0,8
Sherzod,Akhundjanov,pak192,1,0,4
Tinatin,Akhvlediani,pak182,1,0,1
Hiroya,Akiba,pak128,2,0,8
Fatih,Akici,pak98,1,0,5
Alexey,Akimov,pak154,1,0,3
Alexandr,Akimov,pak84,3,0,32
Cigdem,Akin,pak103,1,1,57
Serife,Akin,pak121,2,0,18
Zafer,Akin,pak60,3,1,25
Guzin,Akin,par50,4,2,105
John,Akin,pak55,11,13,327
Ozge,Akinci,pak43,6,4,141
Anthony,Akinlo,pak132,7,7,397
Omokolade,Akinsomi,pak185,2,0,13
Philip,Akiode,pak92,1,0,2
Takahiro,Akita,pak97,5,3,132
Eizo,Akiyama,pak195,5,2,68
Fumio,Akiyoshi,pak108,2,0,11
Murat,Akkaya,pak194,1,0,1
Yildiz,Akkaya,pak147,1,1,13
Renzo,Akkerman,pak21,2,1,38
Huseyin,Akkoyun,pak117,1,0,5
Michaël,Aklin,pak181,2,1,21
Ugur,Akman,pak29,2,1,25
Eric,Akobeng,pak210,2,0,8
Yaa,Akosa Antwi,pak139,3,2,71
Wisdom,Akpalu,pak127,4,2,70
Uduak,Akpan,pak167,2,2,37
Usenobong,Akpan,pak136,4,2,59
Agha,Akram,pak196,1,0,8
Waqar,Akram,pak100,1,0,6
Naeem,Akram,pak74,3,1,21
Qaisar,Akram,pak42,8,7,457
Haroon,Akram-Lodhi,pak189,3,0,21
Kamiljon,Akramov,pak78,5,1,55
Richard,Akresh,pak31,12,14,608
Jay,Akridge,pak53,8,4,169
Mamoun,Akroush,pak65,1,0,1
Billur,Aksoy,pak197,1,0,1
Tolga,Aksoy,pak179,1,0,1
Yunus,Aksoy,pak4,8,7,258
Bora,Aktan,pak119,2,0,20
